region,region_code,county_name,state_fips,county_fips,fips,period,tot_provs_sign_up,tot_pcp_provs_sign_up,tot_provs_go_live,tot_pcp_provs_go_live,tot_provs_mu,tot_pcp_provs_mu
Alabama,AL,Autauga,1,1,1001,Apr-12,2,2,1,1,0,0
Alabama,AL,Baldwin,1,3,1003,Apr-12,49,46,33,30,7,7
Alabama,AL,Barbour,1,5,1005,Apr-12,4,4,2,2,1,1
Alabama,AL,Bibb,1,7,1007,Apr-12,12,12,5,5,0,0
Alabama,AL,Blount,1,9,1009,Apr-12,11,11,9,9,3,3
Alabama,AL,Bullock,1,11,1011,Apr-12,6,6,3,3,0,0
Alabama,AL,Butler,1,13,1013,Apr-12,0,0,0,0,0,0
Alabama,AL,Calhoun,1,15,1015,Apr-12,58,56,41,39,3,3
Alabama,AL,Chambers,1,17,1017,Apr-12,5,4,2,1,0,0
Alabama,AL,Cherokee,1,19,1019,Apr-12,3,3,3,3,3,3
Alabama,AL,Chilton,1,21,1021,Apr-12,3,3,2,2,0,0
Alabama,AL,Choctaw,1,23,1023,Apr-12,8,1,0,0,0,0
Alabama,AL,Clarke,1,25,1025,Apr-12,12,12,12,12,0,0
Alabama,AL,Clay,1,27,1027,Apr-12,8,8,8,8,4,4
Alabama,AL,Cleburne,1,29,1029,Apr-12,4,4,2,2,0,0
Alabama,AL,Coffee,1,31,1031,Apr-12,7,7,0,0,0,0
Alabama,AL,Colbert,1,33,1033,Apr-12,35,35,18,18,7,7
Alabama,AL,Conecuh,1,35,1035,Apr-12,6,6,6,6,0,0
Alabama,AL,Coosa,1,37,1037,Apr-12,0,0,0,0,0,0
Alabama,AL,Covington,1,39,1039,Apr-12,9,9,9,9,1,1
Alabama,AL,Crenshaw,1,41,1041,Apr-12,3,3,0,0,0,0
Alabama,AL,Cullman,1,43,1043,Apr-12,39,39,39,39,9,9
Alabama,AL,Dale,1,45,1045,Apr-12,1,1,0,0,0,0
Alabama,AL,Dallas,1,47,1047,Apr-12,8,7,7,7,0,0
Alabama,AL,DeKalb,1,49,1049,Apr-12,13,13,12,12,0,0
Alabama,AL,Elmore,1,51,1051,Apr-12,2,2,0,0,0,0
Alabama,AL,Escambia,1,53,1053,Apr-12,19,19,17,17,3,3
Alabama,AL,Etowah,1,55,1055,Apr-12,48,43,46,41,7,7
Alabama,AL,Fayette,1,57,1057,Apr-12,0,0,0,0,0,0
Alabama,AL,Franklin,1,59,1059,Apr-12,3,3,1,1,0,0
Alabama,AL,Geneva,1,61,1061,Apr-12,2,2,0,0,0,0
Alabama,AL,Greene,1,63,1063,Apr-12,7,7,4,4,0,0
Alabama,AL,Hale,1,65,1065,Apr-12,7,5,0,0,0,0
Alabama,AL,Henry,1,67,1067,Apr-12,1,1,0,0,0,0
Alabama,AL,Houston,1,69,1069,Apr-12,53,51,53,51,2,2
Alabama,AL,Jackson,1,71,1071,Apr-12,22,22,22,22,3,3
Alabama,AL,Jefferson,1,73,1073,Apr-12,159,155,93,89,34,34
Alabama,AL,Lamar,1,75,1075,Apr-12,3,3,0,0,0,0
Alabama,AL,Lauderdale,1,77,1077,Apr-12,37,34,30,29,4,3
Alabama,AL,Lawrence,1,79,1079,Apr-12,6,6,6,6,0,0
Alabama,AL,Lee,1,81,1081,Apr-12,34,34,32,32,6,6
Alabama,AL,Limestone,1,83,1083,Apr-12,17,17,14,14,3,3
Alabama,AL,Lowndes,1,85,1085,Apr-12,2,1,0,0,0,0
Alabama,AL,Macon,1,87,1087,Apr-12,4,4,0,0,0,0
Alabama,AL,Madison,1,89,1089,Apr-12,135,125,92,85,30,23
Alabama,AL,Marengo,1,91,1091,Apr-12,11,11,10,10,0,0
Alabama,AL,Marion,1,93,1093,Apr-12,6,6,5,5,1,1
Alabama,AL,Marshall,1,95,1095,Apr-12,46,46,37,37,1,1
Alabama,AL,Mobile,1,97,1097,Apr-12,217,207,119,114,0,0
Alabama,AL,Monroe,1,99,1099,Apr-12,14,14,9,9,0,0
Alabama,AL,Montgomery,1,101,1101,Apr-12,63,55,21,20,3,3
Alabama,AL,Morgan,1,103,1103,Apr-12,11,11,10,10,6,6
Alabama,AL,Perry,1,105,1105,Apr-12,8,7,0,0,0,0
Alabama,AL,Pickens,1,107,1107,Apr-12,7,7,5,5,0,0
Alabama,AL,Pike,1,109,1109,Apr-12,14,13,5,4,1,1
Alabama,AL,Randolph,1,111,1111,Apr-12,2,2,2,2,0,0
Alabama,AL,Russell,1,113,1113,Apr-12,2,2,2,2,0,0
Alabama,AL,St. Clair,1,115,1115,Apr-12,7,7,3,3,2,2
Alabama,AL,Shelby,1,117,1117,Apr-12,20,19,14,13,5,4
Alabama,AL,Sumter,1,119,1119,Apr-12,2,0,0,0,0,0
Alabama,AL,Talladega,1,121,1121,Apr-12,27,24,17,14,3,3
Alabama,AL,Tallapoosa,1,123,1123,Apr-12,0,0,0,0,0,0
Alabama,AL,Tuscaloosa,1,125,1125,Apr-12,99,86,24,24,1,1
Alabama,AL,Walker,1,127,1127,Apr-12,31,30,16,16,0,0
Alabama,AL,Washington,1,129,1129,Apr-12,4,4,3,3,0,0
Alabama,AL,Wilcox,1,131,1131,Apr-12,1,1,0,0,0,0
Alabama,AL,Winston,1,133,1133,Apr-12,8,8,5,5,0,0
Alaska,AK,Aleutians East Borough,2,13,2013,Apr-12,22,22,0,0,0,0
Alaska,AK,Aleutians West Census Area,2,16,2016,Apr-12,32,30,8,7,0,0
Alaska,AK,Anchorage Municipality,2,20,2020,Apr-12,342,321,127,124,33,33
Alaska,AK,Bethel Census Area,2,50,2050,Apr-12,199,199,0,0,0,0
Alaska,AK,Bristol Bay Borough,2,60,2060,Apr-12,9,9,0,0,0,0
Alaska,AK,Denali Borough,2,68,2068,Apr-12,1,1,0,0,0,0
Alaska,AK,Dillingham Census Area,2,70,2070,Apr-12,33,32,0,0,0,0
Alaska,AK,Fairbanks North Star Borough,2,90,2090,Apr-12,94,83,61,53,3,3
